rain_24h_mm,rain_72h_mm,river_ratio,soil_saturation,humidity_pct,wind_kmh,elevation_m,severity
24.7,30.5,0.294,0.248,58.6,16.1,212.5,0
37.4,64.0,0.608,0.422,54.5,17.7,47.0,1
20.6,111.9,0.964,0.648,52.2,19.7,52.4,3
17.6,22.7,0.551,0.406,49.5,16.5,40.0,0
41.7,110.9,0.813,0.634,63.6,13.3,77.2,1
19.3,68.3,0.695,0.352,60.5,22.0,54.4,1
29.0,34.4,0.508,0.336,52.2,14.1,50.0,0
26.3,50.6,0.396,0.36,62.3,3.1,58.9,0
41.7,84.2,0.45,0.324,47.3,5.6,216.9,0
14.5,52.6,0.425,0.216,53.0,6.2,122.0,0
54.9,100.4,0.683,0.56,50.0,9.4,34.9,1
10.7,33.2,0.491,0.309,44.7,15.5,42.8,0
30.8,70.6,0.616,0.425,46.0,27.9,26.7,1
27.5,84.0,0.739,0.583,51.2,18.3,53.8,1
9.6,62.4,0.586,0.336,58.5,14.9,111.8,0
33.2,56.4,0.661,0.272,56.7,3.9,44.4,1
15.8,76.9,0.575,0.401,49.9,1.9,42.2,0
6.1,17.0,0.44,0.191,51.6,29.2,38.8,0
37.2,53.4,0.486,0.38,41.5,10.3,79.3,0
3.3,72.4,0.618,0.387,57.1,15.3,151.9,0
7.7,67.7,0.706,0.248,35.3,16.8,61.3,0
20.4,45.7,0.487,0.125,49.6,43.8,231.1,0
41.5,57.3,0.547,0.411,58.0,36.7,132.8,0
35.1,53.4,0.597,0.284,61.2,49.6,116.8,0
24.3,78.8,0.536,0.302,57.8,19.7,52.9,1
1.8,47.8,0.293,0.42,51.9,31.1,146.7,0
10.1,24.9,0.459,0.415,65.3,5.1,67.0,0
13.0,72.7,0.759,0.451,70.2,44.0,34.8,1
5.7,29.9,0.34,0.319,53.0,21.0,33.5,0
1.0,12.4,0.265,0.253,51.4,9.6,210.3,0
21.4,41.7,0.552,0.132,54.1,23.3,54.7,0
36.1,71.0,0.599,0.533,52.9,28.4,62.7,1
11.9,69.8,0.549,0.56,56.9,18.0,114.4,0
41.0,95.8,0.791,0.714,68.7,29.7,114.0,2
2.7,31.7,0.463,0.263,32.5,11.5,34.5,0
5.2,44.0,0.489,0.247,51.5,17.6,83.7,0
20.9,47.6,0.348,0.485,67.3,6.3,222.4,0
10.7,25.5,0.42,0.323,56.9,10.2,62.7,0
33.5,63.6,0.587,0.503,60.7,10.0,56.0,0
28.7,31.5,0.453,0.243,43.8,5.9,49.5,0
11.7,112.8,0.707,0.638,59.5,2.3,121.6,1
3.1,41.0,0.489,0.243,60.6,10.1,36.8,0
10.2,57.7,0.479,0.402,55.2,6.1,62.2,0
29.3,44.8,0.536,0.321,51.4,15.4,61.0,0
34.7,72.3,0.618,0.669,61.1,17.2,73.8,1
10.8,54.2,0.459,0.438,45.4,35.6,62.9,0
1.0,26.4,0.141,0.088,42.8,7.9,220.3,0
27.1,54.0,0.562,0.387,62.8,28.1,216.3,0
11.4,18.5,0.472,0.284,62.6,15.6,44.9,0
11.8,139.0,0.847,0.672,47.9,17.4,31.5,2
5.1,20.3,0.449,0.159,43.5,13.7,68.8,0
4.9,22.4,0.298,0.326,45.8,24.1,80.1,0
40.4,146.6,0.919,0.657,60.0,15.4,115.9,2
28.1,77.6,0.624,0.53,47.2,14.5,58.8,1
8.6,66.8,0.563,0.343,63.6,5.9,71.4,0
19.4,25.9,0.516,0.232,51.4,7.2,29.4,0
23.0,60.1,0.517,0.497,58.6,16.3,119.7,0
72.3,78.9,0.717,0.527,57.6,12.6,58.3,2
4.3,17.2,0.439,0.249,57.4,3.4,71.6,0
22.7,164.0,1.035,0.808,61.0,9.4,53.0,3
40.2,50.5,0.538,0.382,45.0,23.2,35.9,1
65.6,121.6,0.935,0.576,57.1,17.4,64.3,3
8.0,19.5,0.486,0.119,52.0,7.8,56.0,0
11.3,24.5,0.524,0.325,49.6,12.3,45.8,0
33.8,241.8,1.254,1.0,64.4,24.4,53.7,3
1.7,30.9,0.327,0.353,47.5,5.4,44.7,0
24.9,30.8,0.504,0.321,61.7,6.2,151.6,0
94.1,152.1,1.071,0.656,70.9,18.4,47.3,3
27.5,113.8,0.57,0.697,55.5,9.8,149.1,1
0.2,62.7,0.448,0.464,58.1,13.7,143.2,0
6.2,33.0,0.408,0.375,40.7,12.6,61.1,0
8.3,36.0,0.38,0.412,52.8,14.1,154.1,0
48.6,67.3,0.741,0.582,53.6,38.4,40.8,2
15.0,23.8,0.361,0.171,53.5,4.8,25.5,0
1.0,43.7,0.472,0.232,48.4,19.1,221.7,0
16.9,42.5,0.525,0.357,55.2,17.1,71.0,0
20.7,27.4,0.3,0.202,55.4,19.5,113.5,0
9.8,39.7,0.36,0.234,54.7,2.6,215.4,0
4.8,20.2,0.452,0.367,54.2,20.7,34.4,0
102.2,143.0,1.078,0.639,72.9,15.1,42.6,3
40.3,77.6,0.625,0.477,48.4,15.3,225.6,0
43.6,65.7,0.598,0.286,63.0,13.1,50.7,0
15.0,46.3,0.569,0.364,42.3,6.7,59.4,0
7.8,41.7,0.47,0.447,30.9,10.6,28.9,0
10.4,79.5,0.884,0.595,69.4,12.8,52.8,1
2.7,32.8,0.333,0.4,44.9,17.4,44.1,0
71.2,90.4,1.047,0.521,59.8,18.9,41.5,3
15.7,40.1,0.347,0.434,39.6,12.1,161.5,0
58.4,178.5,1.26,0.905,57.7,15.6,56.3,3
11.0,23.0,0.436,0.229,55.4,13.1,147.2,0
27.9,53.9,0.4,0.422,58.4,18.4,208.5,0
21.9,47.5,0.588,0.442,45.8,21.4,59.9,0
2.2,28.9,0.382,0.172,48.8,21.8,57.5,0
78.6,87.1,0.818,0.419,67.5,13.2,57.6,2
11.4,35.7,0.454,0.304,55.7,10.5,105.0,0
3.7,21.9,0.314,0.154,53.6,8.8,147.2,0
34.0,74.6,0.576,0.356,63.5,14.0,147.5,0
17.9,95.1,0.769,0.508,54.0,43.4,43.8,1
25.5,69.0,0.515,0.535,67.2,10.5,116.6,0
19.8,54.8,0.493,0.478,52.8,19.4,45.3,0
0.3,47.5,0.58,0.391,57.6,18.7,70.1,0
5.9,43.8,0.551,0.365,58.8,16.1,28.9,0
5.6,36.6,0.348,0.509,39.8,2.3,55.5,0
43.0,110.0,0.693,0.555,62.4,13.7,139.6,1
18.6,42.2,0.263,0.364,49.9,17.8,146.9,0
29.5,37.8,0.558,0.272,48.7,8.2,109.6,0
12.2,29.7,0.495,0.179,50.6,3.0,79.8,0
30.9,46.1,0.437,0.464,58.2,18.6,73.4,0
15.1,160.2,1.069,0.769,41.9,21.7,37.6,3
13.9,94.8,0.859,0.607,54.4,11.6,126.8,1
21.7,57.1,0.404,0.377,53.7,9.2,112.8,0
19.8,35.4,0.435,0.428,63.5,30.4,42.9,0
128.9,195.3,1.173,0.842,67.6,27.8,82.0,3
5.8,39.9,0.563,0.438,62.4,5.4,59.1,0
1.8,25.4,0.399,0.358,55.4,13.6,64.1,0
25.0,59.4,0.496,0.247,55.7,6.9,156.2,0
7.0,31.3,0.465,0.254,63.3,9.8,57.4,0
4.0,50.8,0.372,0.467,68.0,26.8,222.5,0
107.5,114.9,0.914,0.769,67.5,32.1,66.4,3
5.6,52.0,0.552,0.444,47.0,8.2,60.6,0
0.8,25.1,0.367,0.241,55.6,18.1,35.1,0
102.2,169.9,1.145,0.746,57.0,10.3,43.9,3
3.8,86.2,0.655,0.563,42.2,41.6,58.1,1
159.7,256.4,1.547,1.0,88.0,10.4,215.8,3
11.6,164.8,1.076,0.779,58.4,9.8,41.9,3
78.9,173.0,1.204,0.825,57.8,21.9,61.9,3
13.5,79.5,0.47,0.565,79.2,6.7,143.9,0
28.1,36.8,0.635,0.484,45.4,6.5,45.3,0
15.4,16.4,0.34,0.335,59.4,12.6,157.6,0
13.6,87.0,0.663,0.515,47.8,8.0,50.8,1
23.0,35.8,0.416,0.237,69.9,3.2,42.9,0
29.1,264.0,1.662,1.0,52.4,13.2,13.7,3
21.2,26.1,0.663,0.43,53.1,18.6,48.2,0
19.0,82.7,0.835,0.589,40.6,11.3,78.0,1
7.1,44.9,0.526,0.372,69.8,11.9,35.1,0
16.1,21.9,0.439,0.22,49.6,16.6,76.8,0
70.9,108.6,0.996,0.629,67.2,37.6,72.9,3
6.7,21.3,0.385,0.366,53.1,9.2,49.5,0
23.7,53.0,0.63,0.405,51.4,16.2,25.4,0
53.6,83.3,0.767,0.491,42.8,14.3,40.8,2
29.3,44.2,0.713,0.288,54.9,6.3,46.9,0
43.4,65.7,0.773,0.666,56.8,21.8,63.0,2
3.7,17.1,0.266,0.165,55.1,28.7,224.7,0
23.7,26.7,0.594,0.194,73.0,18.7,49.6,0
12.8,47.6,0.518,0.378,59.2,2.0,64.0,0
13.4,107.1,0.728,0.574,61.0,9.9,49.7,1
66.0,80.3,0.737,0.581,60.1,20.8,25.9,2
13.7,145.4,0.954,0.834,43.7,24.2,46.1,3
24.5,177.3,1.017,0.752,53.7,4.2,53.1,3
0.8,21.2,0.285,0.193,46.2,4.8,157.1,0
78.8,104.4,0.742,0.503,64.2,19.3,47.1,2
41.2,62.0,0.45,0.489,54.6,14.8,229.6,0
16.8,25.7,0.446,0.317,41.3,12.6,77.1,0
12.1,37.8,0.577,0.292,64.1,33.5,51.7,0
32.2,55.2,0.65,0.412,56.0,36.6,86.6,0
53.0,87.3,0.755,0.415,57.8,8.3,119.6,1
79.7,115.8,0.741,0.558,55.9,6.2,119.0,2
40.0,48.1,0.435,0.248,54.6,13.2,149.6,0
19.3,72.8,0.609,0.473,48.2,20.3,76.8,0
45.7,71.1,0.773,0.466,49.8,27.3,35.2,1
38.4,48.7,0.52,0.279,59.5,10.9,52.8,0
19.4,44.2,0.312,0.388,51.4,7.8,218.7,0
37.4,74.7,0.813,0.563,64.0,17.8,45.7,1
36.8,144.4,0.897,0.643,55.0,11.9,64.5,2
16.7,111.3,0.69,0.579,55.6,13.2,64.6,1
9.5,28.1,0.445,0.334,54.2,18.1,75.0,0
33.9,61.0,0.554,0.414,60.5,12.2,146.7,0
4.4,17.3,0.336,0.123,46.0,3.7,57.4,0
3.0,45.9,0.519,0.317,59.7,7.1,24.9,0
24.9,44.6,0.447,0.309,46.5,8.5,55.6,0
33.0,59.2,0.549,0.392,57.6,9.0,70.3,0
24.7,100.2,0.704,0.554,46.3,3.1,148.8,1
27.5,35.6,0.301,0.458,55.4,39.8,75.4,0
